layer,pos,target,n,auc
10,64,leaked_vs_not,270,0.6077132839890924
10,64,leaked_vs_approp,234,0.6180483523497966
10,64,refused_vs_rest,270,0.7532051282051282
15,0,leaked_vs_not,270,0.6203461517057154
15,0,leaked_vs_approp,234,0.6143780419692014
15,0,refused_vs_rest,270,0.7435897435897436
15,1,leaked_vs_not,270,0.6022037954254549
15,1,leaked_vs_approp,234,0.5921168116173302
15,1,refused_vs_rest,270,0.8239553656220323
15,2,leaked_vs_not,270,0.6129445155545662
15,2,leaked_vs_approp,234,0.5479932976940876
15,2,refused_vs_rest,270,0.7890550807217473
15,3,leaked_vs_not,270,0.6188435639156324
15,3,leaked_vs_approp,234,0.5713715790313573
15,3,refused_vs_rest,270,0.7781339031339032
15,4,leaked_vs_not,270,0.5805554009683344
15,4,leaked_vs_approp,234,0.5728077874411555
15,4,refused_vs_rest,270,0.7812203228869895
15,5,leaked_vs_not,270,0.5694807724414268
15,5,leaked_vs_approp,234,0.5624351711481689
15,5,refused_vs_rest,270,0.7730294396961064
15,6,leaked_vs_not,270,0.6602482052423618
15,6,leaked_vs_approp,234,0.5870102928269368
15,6,refused_vs_rest,270,0.8009259259259259
15,7,leaked_vs_not,270,0.6531804774890089
15,7,leaked_vs_approp,234,0.5819835633926435
15,7,refused_vs_rest,270,0.7851377018043685
15,8,leaked_vs_not,270,0.6236852356836774
15,8,leaked_vs_approp,234,0.5126466129418336
15,8,refused_vs_rest,270,0.7644824311490978
15,9,leaked_vs_not,270,0.5994768768434525
15,9,leaked_vs_approp,234,0.537700470757201
15,9,refused_vs_rest,270,0.7802706552706553
15,10,leaked_vs_not,270,0.6185096555178362
15,10,leaked_vs_approp,234,0.5195882869225246
15,10,refused_vs_rest,270,0.798670465337132
15,11,leaked_vs_not,270,0.6207357115031443
15,11,leaked_vs_approp,234,0.5598819117529721
15,11,refused_vs_rest,270,0.7679249762583095
15,12,leaked_vs_not,270,0.6590795258500752
15,12,leaked_vs_approp,234,0.6150163568180005
15,12,refused_vs_rest,270,0.7897673314339981
15,13,leaked_vs_not,270,0.6242417496800045
15,13,leaked_vs_approp,234,0.6225165562913908
15,13,refused_vs_rest,270,0.7692307692307692
15,14,leaked_vs_not,270,0.6136679837497914
15,14,leaked_vs_approp,234,0.5578073884943748
15,14,refused_vs_rest,270,0.8271604938271605
15,15,leaked_vs_not,270,0.6960320552061885
15,15,leaked_vs_approp,234,0.6111864677252055
15,15,refused_vs_rest,270,0.834045584045584
15,16,leaked_vs_not,270,0.6396015359786298
15,16,leaked_vs_approp,234,0.5455996170110907
15,16,refused_vs_rest,270,0.8552943969610636
15,17,leaked_vs_not,270,0.6581891034559517
15,17,leaked_vs_approp,234,0.579190935929147
15,17,refused_vs_rest,270,0.8418803418803419
15,18,leaked_vs_not,270,0.638098948188547
15,18,leaked_vs_approp,234,0.6342455916380755
15,18,refused_vs_rest,270,0.8035375118708452
15,19,leaked_vs_not,270,0.6064333017975403
15,19,leaked_vs_approp,234,0.5444825660256922
15,19,refused_vs_rest,270,0.7812203228869896
15,20,leaked_vs_not,270,0.6354276810061774
15,20,leaked_vs_approp,234,0.5837389292268411
15,20,refused_vs_rest,270,0.76994301994302
15,21,leaked_vs_not,270,0.5926874060882631
15,21,leaked_vs_approp,234,0.5593233862602729
15,21,refused_vs_rest,270,0.7688746438746439
15,22,leaked_vs_not,270,0.6327564138238077
15,22,leaked_vs_approp,234,0.5863719779781377
15,22,refused_vs_rest,270,0.8380816714150048
15,23,leaked_vs_not,270,0.6006455562357392
15,23,leaked_vs_approp,234,0.616213197159499
15,23,refused_vs_rest,270,0.8417616334283001
15,24,leaked_vs_not,270,0.6047637598085592
15,24,leaked_vs_approp,234,0.5332322668156069
15,24,refused_vs_rest,270,0.821343779677113
15,25,leaked_vs_not,270,0.6901886582447548
15,25,leaked_vs_approp,234,0.5987393281736216
15,25,refused_vs_rest,270,0.8363010446343779
15,26,leaked_vs_not,270,0.6959764038065557
15,26,leaked_vs_approp,234,0.6451767334237613
15,26,refused_vs_rest,270,0.8360636277302944
15,27,leaked_vs_not,270,0.6604708108408927
15,27,leaked_vs_approp,234,0.6316923322428788
15,27,refused_vs_rest,270,0.8259734093067427
15,28,leaked_vs_not,270,0.6829539762925038
15,28,leaked_vs_approp,234,0.6757360568100215
15,28,refused_vs_rest,270,0.8072174738841406
15,29,leaked_vs_not,270,0.6534587344871723
15,29,leaked_vs_approp,234,0.6767733184393202
15,29,refused_vs_rest,270,0.7689933523266856
15,30,leaked_vs_not,270,0.7173465412655129
15,30,leaked_vs_approp,234,0.6929705577275991
15,30,refused_vs_rest,270,0.7484567901234568
15,31,leaked_vs_not,270,0.7084423173242806
15,31,leaked_vs_approp,234,0.6933695045080985
15,31,refused_vs_rest,270,0.7515432098765432
15,32,leaked_vs_not,270,0.7215203962379654
15,32,leaked_vs_approp,234,0.7203383068698636
15,32,refused_vs_rest,270,0.7720797720797721
15,33,leaked_vs_not,270,0.7088318771217096
15,33,leaked_vs_approp,234,0.7081305353865794
15,33,refused_vs_rest,270,0.7733855650522318
15,34,leaked_vs_not,270,0.6935277422227168
15,34,leaked_vs_approp,234,0.6990345487911913
15,34,refused_vs_rest,270,0.7830009496676164
15,35,leaked_vs_not,270,0.6782236073237242
15,35,leaked_vs_approp,234,0.6859490943908083
15,35,refused_vs_rest,270,0.8116096866096867
15,36,leaked_vs_not,270,0.7061606099393399
15,36,leaked_vs_approp,234,0.6771722652198197
15,36,refused_vs_rest,270,0.8620607787274454
15,37,leaked_vs_not,270,0.6431632255551227
15,37,leaked_vs_approp,234,0.6508417777068539
15,37,refused_vs_rest,270,0.8074548907882241
15,38,leaked_vs_not,270,0.7215203962379654
15,38,leaked_vs_approp,234,0.7355780738849438
15,38,refused_vs_rest,270,0.8142212725546059
15,39,leaked_vs_not,270,0.6816739941009515
15,39,leaked_vs_approp,234,0.7340620761190457
15,39,refused_vs_rest,270,0.796415004748338
15,40,leaked_vs_not,270,0.6798374979130726
15,40,leaked_vs_approp,234,0.7319875528604484
15,40,refused_vs_rest,270,0.7964150047483382
15,41,leaked_vs_not,270,0.7113918415048138
15,41,leaked_vs_approp,234,0.7187425197478656
15,41,refused_vs_rest,270,0.7847815764482431
15,42,leaked_vs_not,270,0.7461739662752518
15,42,leaked_vs_approp,234,0.7686108673103008
15,42,refused_vs_rest,270,0.7768281101614435
15,43,leaked_vs_not,270,0.7476765540653347
15,43,leaked_vs_approp,234,0.7654192930663049
15,43,refused_vs_rest,270,0.7803893637226972
15,44,leaked_vs_not,270,0.7157883020757972
15,44,leaked_vs_approp,234,0.7359770206654432
15,44,refused_vs_rest,270,0.7697056030389363
15,45,leaked_vs_not,270,0.7022093605654182
15,45,leaked_vs_approp,234,0.6731827974148249
15,45,refused_vs_rest,270,0.823005698005698
15,46,leaked_vs_not,270,0.7204630196449441
15,46,leaked_vs_approp,234,0.6591398707412431
15,46,refused_vs_rest,270,0.8282288698955366
